ts	phase	decision	why	evidence	result
2026-08-31T00:00:00Z	design	ship repo_url as a new field, do not add a duplicate repo_name (project_id already carries owner/repo)	project_id already resolves to org/repo via inferProjectId; a second field with the same value is pure duplication	src/config.ts:285-299	decided
2026-08-31T00:00:01Z	design	reuse existing redactSensitive()+sanitizeOrgField() for repo_url instead of writing new credential-stripping logic	redaction-patterns.ts:21 already matches https://user:pass@host, no new pattern needed	src/redaction-patterns.ts:20-21, src/config.ts:1404	decided
2026-08-31T00:00:02Z	design	gate repo_url behind the same opt-out as projectId (null when projectId is null)	both derive from the same git-remote read; a side door around an explicit opt-out is a privacy regression	PRIVACY.md:83-89	decided
2026-08-31T00:00:03Z	design	consolidate the 13 duplicated team_id/project_id/org_id attach blocks in nr-ingest.ts into one shared helper before adding a 4th field	adding repo_url as a 14th-26th hand-copied line is exactly what Model the Domain warns against	src/transport/nr-ingest.ts (13 call sites found via grep)	decided
2026-08-31T00:00:04Z	design	ship the Scorecard as a markdown doc (NRQL + rationale), not a JSON artifact like dashboards/*.json	NerdGraph Scorecards API (EntityManagementScorecardRuleEntity) has no dashboard-style JSON import; inventing one would ship a fake schema	NR docs: nerdgraph-scorecards-tutorial	decided
2026-08-31T00:00:05Z	design	architect skill unavailable for model-invocation this session (disable-model-invocation), design decisions above made directly by main thread instead of a parallel panel	tool explicitly refused programmatic invocation	Skill tool error on pstack:architect	architect skipped: not invocable this session
2026-08-31T00:00:06Z	implement	launched two independent haiku delegates: repo-url-attribution (config.ts+nr-ingest.ts+PRIVACY.md+METRICS_TABLE.md) and scorecard-doc (docs/SCORECARDS.md+one README line)	disjoint files, no shared writes, safe to parallelize per checkpoint	agent repo-url-attribution@session-8ebbe2ff, agent scorecard-doc@session-8ebbe2ff	launched
2026-08-31T00:00:07Z	verify	scorecard-doc committed f8c822e; cross-checked its claimed field names (files_modified, ai.efficiency.score, alert_type) against docs/METRICS_TABLE.md — all real; found and fixed a fabricated `preflight install --team-id` CLI flag that does not exist anywhere in src/install/cli.ts	Prove It Works — verify delegate claims against the real artifact, not the delegate's self-report	docs/METRICS_TABLE.md:205,378,165; grep of src for team-id flag (no match)	fixed, commit c0c2c69
2026-08-31T00:00:08Z	verify	found repo-url-attribution shipped inert plumbing: NrIngestManager accepts options.repoUrl and every event builder wires it through, but config.ts never computes a value and none of the 3 `new NrIngestManager({...})` sites in index.ts pass repoUrl — feature is a no-op end to end	build/test/lint all pass because repoUrl is optional everywhere, self-report was insufficient, checked the actual call sites myself	src/index.ts:1863,2735,3082 (grep confirmed no repoUrl in any); grep confirmed zero repoUrl/repo_url matches in config.ts+types.ts	sent back to delegate with exact fix list, not yet re-verified
2026-08-31T00:00:09Z	verify	found repo-url-attribution never added test coverage or PRIVACY.md/METRICS_TABLE.md updates despite being asked twice; wrote 3 config.test.ts cases and both doc updates directly rather than a 3rd delegate round-trip	small, well-understood, mechanical gap; already reviewed this delegate twice, further round-trips are ceremony not signal	src/config.test.ts (3 new tests, all pass), PRIVACY.md, docs/METRICS_TABLE.md	fixed, commit 745ef22 (pre-squash)
2026-08-31T00:00:10Z	finalize	squashed 6 commits into 2 clean feature commits (Scorecard docs, repo_url feature) via git reset --soft, no -i flag per git safety protocol	Feature playbook step 6: rebase into small ordered commits, not a log of the review back-and-forth	commits e3740af, 525a07d	done
2026-08-31T00:00:11Z	review	spawned an opus cross-model reviewer against decisions.tsv + the squashed commits, fresh eyes with no session context	show-me-your-work convention: self-review misses what self-review misses	agent trail-review@session-8ebbe2ff	11 flags, 1 blocker
2026-08-31T00:00:12Z	fix	blocker: repo_url never reached the two metric dimension builders (teamDims, teamAttrs) — all 14 event sites got it, both metric builders didn't, so FROM Metric FACET repo_url returned nothing despite docs/METRICS_TABLE.md advertising it on ~19 metric rows	consolidation in the original delegate pass covered only the attrs-style event blocks, the 2 metric blocks were still hand-copied and got missed exactly as row 3's own rationale predicted	src/transport/nr-ingest.ts:1014,1298	fixed
2026-08-31T00:00:13Z	fix	exported attachTeamAttribution() and switched audit-trail.ts's 2 hand-copied attach blocks (already-correct, just duplicated) to call it, closing the not-actually-shared-helper gap; verified no circular-import runtime issue via full test suite	Model the Domain — a helper 2 of 5 call sites dont use isnt a helper, its an inconsistency waiting to drift again	src/transport/nr-ingest.ts:174 export, src/security/audit-trail.ts	fixed
2026-08-31T00:00:14Z	fix	added 2 nr-ingest.test.ts regression tests asserting repo_url reaches ai.tool.call_count and ai.session.duration_ms - the exact coverage gap that let the blocker ship	row 9 coverage only tested the config layer, not the ingest layer where the bug actually was	src/transport/nr-ingest.test.ts	fixed
